DateTime,Entries,UniqueIPs
1546554030,7531,7531
1546555957,7664,7664
1546557856,7673,7673
1546560089,7680,7680
1546561947,7674,7674
1546563879,7678,7678
1546565787,7624,7624
1546567716,7645,7645
1546569612,7635,7635
1546571551,7653,7653
1546573477,7673,7673
1546575636,7676,7676
1546577574,7685,7685
1546579459,7696,7696
1546581402,7692,7692
1546583297,7657,7657
1546585314,7611,7611
1546587182,7608,7608
1546589066,7580,7580
1546590998,7583,7583
1546592904,7578,7578
1546594820,7574,7574
1546596784,7568,7568
1546598693,7556,7556
1546600580,7559,7559
1546602518,7540,7540
1546604432,7522,7522
1546606393,7479,7479
1546608279,7300,7300
1546610173,7274,7274
1546612116,7237,7237
1546614271,7292,7292
1546616445,7410,7410
1546618586,7404,7404
1546620783,7363,7363
1546622680,7366,7366
1546624604,7353,7353
1546626498,7326,7326
1546628488,7296,7296
1546630608,6386,6386
1546632772,5581,5581
1546634655,4761,4761
1546636585,3776,3776
1546638505,2852,2852
1546640454,1889,1889
1546642359,1740,1740
1546644262,1725,1725
1546646202,1704,1704
1546648010,1674,1674
1546650029,1671,1671
1546651942,1661,1661
1546653865,1643,1643
1546655795,1625,1625
1546657960,1586,1586
1546659856,1515,1515
1546662044,1497,1497
1546663954,1497,1497
1546665871,1492,1492
1546667769,1493,1493
1546669573,1483,1483
1546672597,1414,1414
1546674498,1403,1403
1546676679,1397,1397
1546678583,1396,1396
1546680493,1386,1386
1546682449,1386,1386
1546684362,1379,1379
1546686279,1343,1343
1546688170,1338,1338
1546690098,1327,1327
1546692006,1335,1335
1546693948,1337,1337
1546696105,1344,1344
1546698036,1333,1333
1546700141,1331,1331
1546702090,1338,1338
1546704047,1339,1339
1546705984,1331,1331
1546707869,1321,1321
1546709768,1296,1296
1546711697,1290,1290
1546713615,1272,1272
1546715528,1523,1523
1546717473,1850,1850
1546719383,2008,2008
1546721316,2017,2017
1546723214,2020,2020
1546725154,2028,2028
1546727072,2028,2028
1546729254,2036,2036
1546731188,2037,2037
1546733084,2045,2045
1546734969,2045,2045
1546737139,2052,2052
1546739326,2060,2060
1546741218,2053,2053
1546743423,2059,2059
1546745548,2052,2052
1546747464,2043,2043
1546749622,2045,2045
1546751546,2046,2046
1546753457,2049,2049
1546755369,2054,2054
1546757336,2054,2054
1546759243,2055,2055
1546761135,2052,2052
1546763087,2048,2048
1546764971,2047,2047
1546766896,2039,2039
1546768833,2033,2033
1546770867,2177,2177
1546773162,2174,2174
1546775057,2173,2173
1546776992,2178,2178
1546779140,2194,2194
1546781074,2190,2190
1546782976,2176,2176
1546784895,2203,2203
1546787072,2233,2233
1546789497,2336,2336
1546791912,2424,2424
1546793784,3458,3458
1546795719,3886,3886
1546797633,4091,4091
1546799542,4105,4105
1546801479,4118,4118
1546803324,4117,4117
1546805325,4110,4110
1546807224,4150,4150
1546809168,4160,4160
1546811058,4169,4169
1546813278,4201,4201
1546815158,4204,4204
1546817077,4210,4210
1546818980,4411,4411
1546821150,5482,5482
1546823307,6278,6278
1546825257,7159,7159
1546827188,7869,7869
1546829092,8493,8493
1546831005,8497,8497
1546833183,8467,8467
1546835059,8473,8473
1546837004,8481,8481
1546838948,8489,8489
1546840911,8488,8488
1546842776,8485,8485
1546844685,8487,8487
1546846579,8495,8495
1546848519,8506,8506
1546850416,8511,8511
1546852345,8515,8515
1546854274,8522,8522
1546856208,8441,8441
1546858487,8454,8454
1546860490,8474,8474
1546862462,8400,8400
1546864368,8213,8213
1546866539,7861,7861
1546868415,7572,7572
1546870344,7570,7570
1546872289,7577,7577
1546874176,7584,7584
1546876363,7591,7591
1546878288,7596,7596
1546880198,6976,6976
1546882126,6611,6611
1546884032,6455,6455
1546885973,6606,6606
1546887884,6641,6641
1546890049,6680,6680
1546891938,6681,6681
1546893885,6693,6693
1546895786,6699,6699
1546897730,6709,6709
1546899624,7689,7689
1546901538,8426,8426
1546903468,9005,9005
1546905413,9628,9628
1546907565,9313,9313
1546909462,9405,9405
1546911378,9011,9011
1546913568,8184,8184
1546915460,7633,7633
1546917406,7641,7641
1546919294,7641,7641
1546921216,7642,7642
1546923169,7631,7631
1546925083,7623,7623
1546926982,7632,7632
1546928934,7641,7641
1546931194,7626,7626
1546933250,7627,7627
1546935133,7491,7491
1546937053,7488,7488
1546938984,7478,7478
1546941152,7508,7508
1546943083,7513,7513
1546944981,7507,7507
1546946891,7535,7535
1546948850,7532,7532
1546950910,7507,7507
1546953160,7518,7518
1546955058,7519,7519
1546956995,7510,7510
1546959163,7502,7502
1546961067,7496,7496
1546962992,7571,7571
1546964897,7573,7573
1546967815,7482,7482
1546969945,7322,7322
1546971872,7087,7087
1546973973,7018,7018
1546975952,7024,7024
1546977882,6985,6985
1546980039,6983,6983
1546981946,6980,6980
1546983892,6971,6971
1546986021,5935,5935
1546987935,5149,5149
1546989879,4539,4539
1546991773,3654,3654
1546993958,2927,2927
1546995875,2138,2138
1546998037,1771,1771
1546999945,1790,1790
1547001875,1820,1820
1547003782,1819,1819
1547005958,1714,1714
1547007852,1709,1709
1547009823,1698,1698
1547011934,1693,1693
1547013851,1681,1681
1547015781,1673,1673
1547017694,1675,1675
1547019614,1659,1659
1547021544,1657,1657
1547023474,1662,1662
1547025394,1664,1664
1547027292,1620,1620
1547029243,1605,1605
1547031158,1601,1601
1547033160,1558,1558
1547034998,1553,1553
1547036892,1554,1554
1547038847,1550,1550
1547041007,1546,1546
1547043162,1543,1543
1547045052,1545,1545
1547046946,1546,1546
1547048860,1553,1553
1547050708,1419,1419
1547052755,1762,1762
1547054657,1946,1946
1547056580,2124,2124
1547058768,2121,2121
1547060668,2911,2911
1547062828,5461,5461
1547065002,7911,7911
1547067181,11468,11468
1547069059,13624,13624
1547071001,16331,16331
1547073176,17900,17900
1547075068,17900,17900
1547076974,17899,17899
1547078927,17891,17891
1547080857,17873,17873
1547083002,17872,17872
1547084902,17860,17860
1547086834,17852,17852
1547088759,17822,17822
1547090683,17824,17824
1547092902,17818,17818
1547094742,17820,17820
1547096705,17819,17819
1547098818,17752,17752
1547100741,17748,17748
1547102688,17746,17746
1547104834,17755,17755
1547106778,17751,17751
1547108651,17756,17756
1547110846,17754,17754
1547113014,17750,17750
1547114941,17751,17751
1547117082,17743,17743
1547119237,17744,17744
1547121400,17782,17782
1547123571,17803,17803
1547125487,17802,17802
1547127622,17801,17801
1547129791,17797,17797
1547131723,18015,18015
1547133667,18124,18124
1547135536,18497,18497
1547137728,18691,18691
1547140586,18460,18460
1547142762,18313,18313
1547144678,18315,18315
1547146578,18000,18000
1547148821,15597,15597
1547150686,13546,13546
1547152592,10713,10713
1547154747,7559,7559
1547156652,4818,4818
1547158598,2804,2804
1547160766,2351,2351
1547162658,2355,2355
1547164578,2368,2368
1547166502,2374,2374
1547168436,2377,2377
1547170364,2378,2378
1547172265,2373,2373
1547174192,2895,2895
1547176358,3692,3692
1547178254,3945,3945
1547180205,4220,4220
1547182108,4603,4603
1547184030,4912,4912
1547185957,5349,5349
1547187883,5756,5756
1547191020,6453,6453
1547193165,7011,7011
1547195057,7509,7509
1547196986,7606,7606
1547198895,7603,7603
1547200852,7598,7598
1547202772,7597,7597
1547204694,7596,7596
1547206609,7577,7577
1547208766,7537,7537
1547210662,7531,7531
1547212848,7536,7536
1547214734,7541,7541
1547216930,7524,7524
1547218847,7277,7277
1547220864,7150,7150
1547222984,6831,6831
1547225092,6990,6990
1547226996,7306,7306
1547228897,7577,7577
1547230818,7580,7580
1547233007,7585,7585
1547235160,7580,7580
1547237341,7579,7579
1547239462,7586,7586
1547241656,7624,7624
1547243558,7742,7742
1547245486,7871,7871
1547247401,8057,8057
1547249571,8269,8269
1547251733,8429,8429
1547253647,8609,8609
1547255545,8805,8805
1547257487,8801,8801
1547259397,8777,8777
1547261566,8266,8266
