DateTime,AddedIPs,RemovedIPs
1547253647,192,12
1547255545,200,4
1547257487,5,9
1547259397,12,36
1547261566,6,517
1547263473,9,259
1547265670,17,185
1547267548,19,215
1547269492,16,228
1547271381,8,241
1547273820,12,331
1547275700,9,285
1547277665,17,242
1547279552,5,322
1547281484,12,331
1547283378,11,66
1547285547,13,14
1547287512,8,7
1547289659,4,10
1547291573,3,10
1547293455,9,12
1547295639,5,8
1547297569,6,6
1547299466,9,16
1547301390,5,9
1547303294,11,7
1547305493,8,5
1547307653,18,4
1547309828,16,258
1547311888,23,137
1547313879,96,352
1547315770,210,234
1547317696,112,8
1547320583,336,19
1547322531,10,10
1547324426,10,11
1547326332,8,8
1547328290,16,7
1547330167,83,9
1547332406,16,11
1547334501,12,15
1547336427,14,9
1547338622,11,6
1547340496,7,8
1547342453,10,7
1547344360,9,8
1547346282,17,7
1547348170,7,6
1547350096,7,12
1547352300,55,20
1547354451,8,22
1547356358,11,11
1547358508,84,11
1547360445,4,10
1547362347,43,4
1547364277,4,13
1547366473,16,5
1547368340,49,11
1547370534,85,17
1547372686,97,18
1547374827,84,5
1547376732,11,9
1547378685,11,2
1547380570,9,9
1547382515,798,2
1547385389,582,6
1547387326,7,8
1547389481,6,11
1547391384,23,8
1547393563,8,13
1547395500,9,9
1547397626,18,17
1547399853,10,26
1547401708,5,264
1547403614,8,96
1547405539,8,336
1547407492,9,8
1547409404,3,248
1547411542,425,419
1547413493,5,331
1547415387,10,410
1547417572,18,419
1547419531,6,390
1547421406,5,360
1547423302,4,486
1547425248,629,8
1547427151,794,5
1547429078,658,9
1547431252,819,12
1547433161,627,10
1547435084,615,7
1547436988,6,6
1547439180,3,81
1547441102,5,6
1547443013,5,9
1547444912,9,8
1547447080,8,5
1547448999,10,2
1547450921,1,5
1547453092,4,25
1547455218,7,65
1547457171,11,103
1547459077,12,100
1547461251,7,93
1547463401,6,7
1547465296,13,7
1547467227,8,9
1547469268,11,6
1547471097,4,9
1547472983,9,4
1547474950,3,4
1547476822,21,17
1547479001,17,4
1547480918,133,9
1547482834,4,25
1547484732,5,14
1547486669,5,7
1547488613,4,7
1547490499,141,9
1547493377,387,12
1547495538,6,1037
1547497483,4,523
1547499373,8,201
1547501298,5,14
1547503232,2,4
1547505170,4,19
1547507055,163,3
1547509167,787,6
1547511145,6,358
1547513074,3,1027
1547514990,5,611
1547517153,8,861
1547519082,4,680
1547520975,3,793
1547522898,5,68
1547524840,8,6
1547526732,7,8
1547528716,5,9
1547530834,5,10
1547532770,9,11
1547534896,4,32
1547536822,8,8
1547538729,4,6
1547540664,7,6
1547542831,14,8
1547544738,12,13
1547546686,5,15
1547548855,5,4
1547550743,4,16
